Source,Target,Weight
27729907,27051771,0.5
20819799,1090311,1.5
9996255,3757512,1.0
7764559,10270250,0.5
20580498,19206385,0.5
1844194,858127,1.0
11180687,4222911,0.5
2573058,929845,0.5
18818187,25617835,1.0
2156455,1287859,5.0
2310495,2381732,2.0
8962829,18566373,3.5
1984460,1920851,0.5
11949423,10932604,0.5
17152449,19406251,0.5
6506651,17923502,0.5
1329931,10270250,1.0
481872,10995659,0.5
9998516,7691631,1.0
20962139,321278,0.5
1272666,1451352,0.5
21394954,764708,0.5
9257808,15907354,0.5
31858042,24474126,0.5
4077502,108278,1.0
15778981,12983151,0.5
25312459,1090311,0.5
30649544,22002058,0.5
2203645,6612466,2.5
18529961,18421590,2.5
18225913,19272315,1.5
4090287,1276752,0.5
2410676,16165969,0.5
11180687,206084,0.5
2510503,2228226,1.0
28054492,455600,0.5
22271793,3813151,0.5
20297645,9004241,0.5
7136348,206084,0.5
19529740,8266573,1.5
30921526,27563721,0.5
19154916,27776551,0.5
9325315,19692503,0.5
26800584,26077653,0.5
17196388,2945088,0.5
4738266,1516094,1.0
110411,104937,0.5
30474622,104937,0.5
14406721,6660536,0.5
16029103,4090287,0.5
16104394,4878628,0.5
9879953,10183514,1.0
10183514,9879953,0.5
19406251,14089735,0.5
2917192,17671906,0.5
4128353,1283503,1.5
20894140,19745004,1.0
28643625,203666,1.5
3080613,5282596,1.0
11290232,488514,0.5
11225014,23096959,0.5
17912002,16184890,0.5
22737333,22737329,1.0
20653934,20580498,2.5
11221453,488514,0.5
1383170,14812631,0.5
11796974,4380969,0.5
3195124,137805,0.5
26837192,321278,0.5
15045751,27494663,2.0
11290232,27903690,0.5
1257514,2608337,0.5
14089735,21546187,0.5
5860977,3149845,0.5
3638964,24474126,5.0
1466922,3867127,0.5
26650305,26885032,1.5
17884222,5932749,1.0
515585,10664,0.5
19928304,19927831,1.0
3757512,8486799,0.5
478996,946945,0.5
203076,7613257,0.5
3857240,3301400,0.5
10664,10453695,2.0
19360616,14125254,1.5
9461481,390510,0.5
4000279,27888295,20.0
22663585,17075030,0.5
20580498,9787757,0.5
20882845,20897575,0.5
33588118,17163720,0.5
28796010,7691631,0.5
18409797,7253769,0.5
32545743,30198400,1.0
25691817,5710341,0.5
1148352,596892,0.5
9671862,2293158,0.5
18421590,18529961,1.0
3319769,4128353,0.5
7804910,5532320,1.0
722201,168370,0.5
5474834,7789923,1.0
30892477,788264,0.5
13049233,4025121,1.0
16053994,5262776,0.5
72690,27609645,0.5
24474138,24474126,10.5
33264452,10391073,0.5
30805535,30872453,0.5
23540628,29688210,0.5
23540628,22137709,2.0
15947557,24993103,3.0
23540628,15510233,3.0
7247341,19614228,0.5
10975056,9325315,1.0
5481861,3638964,0.5
1549395,34431301,0.5
1272666,10697582,0.5
14562056,5710341,0.5
10067157,9139165,0.5
8486799,10067157,2.0
8486799,9139165,0.5
13220460,12256376,0.5
203666,29195078,4.0
4597815,2788503,0.5
31710936,3678731,0.5
21170375,7833168,0.5
7691631,15045751,1.5
29628695,26964106,0.5
29882024,7910045,0.5
7705565,1549395,0.5
34431301,488514,1.0
2661753,1036336,0.5
25042195,321278,0.5
25789674,7691631,0.5
24382273,25940652,0.5
32883613,24382273,0.5
206084,9214768,7.5
19981805,9004241,0.5
20304586,13633443,0.5
19939216,16384837,3.0
6543378,16384837,0.5
6898391,19524397,0.5
17482306,13392416,1.0
